iter	Passed	Remaining
0	1	109
1	2	100
2	2	95
3	3	92
4	4	91
5	5	89
6	6	88
7	7	86
8	8	84
9	9	81
10	9	80
11	10	80
12	12	81
13	13	81
14	14	79
15	14	78
16	15	76
17	16	74
18	17	73
19	18	72
20	18	70
21	19	69
22	20	68
23	21	66
24	21	65
25	22	64
26	23	63
27	24	62
28	24	61
29	25	59
30	26	59
31	27	58
32	28	57
33	28	56
34	29	55
35	30	54
36	31	52
37	31	51
38	32	50
39	33	50
40	34	49
41	34	47
42	35	46
43	35	45
44	36	44
45	37	43
46	38	43
47	38	42
48	39	41
49	40	40
50	41	39
51	42	39
52	43	38
53	43	37
54	44	36
55	44	35
56	45	34
57	46	33
58	47	32
59	47	31
60	48	31
61	49	30
62	50	29
63	51	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	56	24
70	56	23
71	57	22
72	58	21
73	59	20
74	59	19
75	60	19
76	61	18
77	62	17
78	63	16
79	63	15
80	64	15
81	65	14
82	66	13
83	66	12
84	67	11
85	68	11
86	69	10
87	69	9
88	70	8
89	71	7
90	72	7
91	72	6
92	73	5
93	74	4
94	75	3
95	75	3
96	76	2
97	77	1
98	78	0
99	78	0
